date,region,product_type,product_id,product_name,customers_acquired,avg_product_value,marketing_spend,churn_rate,revenue
2021-01,North,Credit Card,1000,Platinum Card,365,100.0,21594.51,0.0556,34470.6
2021-01,North,Credit Card,1001,CashBack Card,312,2010.52,21165.48,0.0524,594412.65
2021-01,North,Credit Card,1002,Student Card,394,1816.45,12380.62,0.0414,686052.09
2021-01,North,Mortgage,1003,Home Loan Pro,339,199257.59,12618.35,0.0797,62164721.67
2021-01,North,Mortgage,1004,First Home Loan,393,199399.36,18541.53,0.038,75386118.44
2021-01,North,Personal Loan,1005,Flexi Loan,322,2852.28,18067.64,0.0268,893820.12
2021-01,North,Personal Loan,1006,Instant Loan,287,1323.0,13032.92,0.01,375903.99
2021-01,North,Savings Account,1007,High Yield Savings,345,100.0,19421.76,0.044,32982.0
2021-01,North,Savings Account,1008,Standard Savings,346,1460.82,20429.62,0.0198,495435.93
2021-01,North,Investment,1009,WealthBuilder Fund,377,1721.5,22910.61,0.0678,605002.93
2021-01,North,Investment,1010,Retirement Plan,316,1211.59,22985.22,0.0321,370572.56
2021-01,South,Credit Card,1011,Platinum Card,329,888.01,24062.63,0.0771,269630.12
2021-01,South,Credit Card,1012,CashBack Card,370,1972.96,23977.98,0.0799,671668.58
2021-01,South,Credit Card,1013,Student Card,314,1338.18,19247.33,0.0307,407288.73
2021-01,South,Mortgage,1014,Home Loan Pro,302,199780.33,21785.56,0.0796,55531100.35
2021-01,South,Mortgage,1015,First Home Loan,343,199481.73,23524.91,0.0572,64508481.64
2021-01,South,Personal Loan,1016,Flexi Loan,311,100.0,18855.76,0.0693,28944.77
2021-01,South,Personal Loan,1017,Instant Loan,379,790.31,16489.73,0.0434,286528.0
2021-01,South,Savings Account,1018,High Yield Savings,361,100.0,21727.59,0.0421,34580.19
2021-01,South,Savings Account,1019,Standard Savings,323,710.86,29430.93,0.0535,217323.76
2021-01,South,Investment,1020,WealthBuilder Fund,344,1817.87,14726.98,0.0348,603585.19
2021-01,South,Investment,1021,Retirement Plan,359,1457.42,21699.1,0.0499,497105.41
2021-01,East,Credit Card,1022,Platinum Card,360,100.0,16658.77,0.0473,34297.2
2021-01,East,Credit Card,1023,CashBack Card,390,2401.32,15047.32,0.0387,900271.68
2021-01,East,Credit Card,1024,Student Card,375,463.84,25482.64,0.0586,163747.12
2021-01,East,Mortgage,1025,Home Loan Pro,375,197530.3,18216.27,0.0611,69547949.5
2021-01,East,Mortgage,1026,First Home Loan,367,200062.82,22507.98,0.0471,69964829.05
2021-01,East,Personal Loan,1027,Flexi Loan,367,1180.62,23088.2,0.0743,401094.28
2021-01,East,Personal Loan,1028,Instant Loan,308,1854.0,28942.97,0.0613,536027.74
2021-01,East,Savings Account,1029,High Yield Savings,324,835.5,14043.48,0.0631,253620.7
2021-01,East,Savings Account,1030,Standard Savings,331,537.47,14437.51,0.0673,165929.73
2021-01,East,Investment,1031,WealthBuilder Fund,348,1958.41,13150.64,0.0346,657945.86
2021-01,East,Investment,1032,Retirement Plan,321,100.0,15763.21,0.0773,29618.67
2021-01,West,Credit Card,1033,Platinum Card,369,2172.03,14645.54,0.0596,753710.92
2021-01,West,Credit Card,1034,CashBack Card,365,875.87,23701.7,0.041,306585.16
2021-01,West,Credit Card,1035,Student Card,360,1777.05,21070.47,0.0251,623680.58
2021-01,West,Mortgage,1036,Home Loan Pro,379,200230.95,15955.32,0.0711,70491926.66
2021-01,West,Mortgage,1037,First Home Loan,355,200051.36,22248.87,0.0856,64939072.07
2021-01,West,Personal Loan,1038,Flexi Loan,338,1515.05,39263.66,0.0614,480644.76
2021-01,West,Personal Loan,1039,Instant Loan,385,2135.57,12197.21,0.09,748196.95
2021-01,West,Savings Account,1040,High Yield Savings,366,100.0,21786.52,0.0417,35073.78
2021-01,West,Savings Account,1041,Standard Savings,389,1080.2,17293.57,0.0655,392674.84
2021-01,West,Investment,1042,WealthBuilder Fund,413,3143.94,23169.6,0.01,1285462.75
2021-01,West,Investment,1043,Retirement Plan,407,1186.45,15712.26,0.0668,450628.42
2021-02,North,Credit Card,1044,Platinum Card,290,631.55,20786.01,0.0477,174413.27
2021-02,North,Credit Card,1045,CashBack Card,374,1831.71,13695.58,0.0684,638201.47
2021-02,North,Credit Card,1046,Student Card,369,269.26,13600.4,0.0453,94856.07
2021-02,North,Mortgage,1047,Home Loan Pro,311,201872.01,17593.76,0.01,62154373.16
2021-02,North,Mortgage,1048,First Home Loan,376,199675.6,22623.05,0.1137,66541654.09
2021-02,North,Personal Loan,1049,Flexi Loan,388,1084.16,18987.71,0.0512,399116.59
2021-02,North,Personal Loan,1050,Instant Loan,327,1749.11,29044.78,0.0545,540787.21
2021-02,North,Savings Account,1051,High Yield Savings,382,729.04,21404.96,0.0375,268049.78
2021-02,North,Savings Account,1052,Standard Savings,293,100.0,26409.6,0.0494,27852.58
2021-02,North,Investment,1053,WealthBuilder Fund,384,100.0,21810.07,0.0616,36034.56
2021-02,North,Investment,1054,Retirement Plan,326,2678.31,10627.66,0.0822,801357.85
2021-02,South,Credit Card,1055,Platinum Card,372,1527.96,22735.49,0.046,542254.67
2021-02,South,Credit Card,1056,CashBack Card,333,137.38,23952.97,0.0627,42879.17
2021-02,South,Credit Card,1057,Student Card,312,100.0,18803.88,0.0671,29106.48
2021-02,South,Mortgage,1058,Home Loan Pro,349,199799.8,30123.6,0.0329,67436008.92
2021-02,South,Mortgage,1059,First Home Loan,323,199985.72,25790.55,0.0658,60345011.06
2021-02,South,Personal Loan,1060,Flexi Loan,368,300.85,19955.91,0.01,109605.67
2021-02,South,Personal Loan,1061,Instant Loan,342,2770.43,20450.36,0.0517,898501.98
2021-02,South,Savings Account,1062,High Yield Savings,358,528.96,21160.25,0.021,185390.96
2021-02,South,Savings Account,1063,Standard Savings,354,100.0,27391.26,0.0324,34253.04
2021-02,South,Investment,1064,WealthBuilder Fund,353,425.8,12540.13,0.0818,138012.25
2021-02,South,Investment,1065,Retirement Plan,352,1471.64,22596.73,0.0807,476213.29
2021-02,East,Credit Card,1066,Platinum Card,370,656.8,22288.38,0.0514,230524.98
2021-02,East,Credit Card,1067,CashBack Card,320,1983.5,17640.61,0.0389,610029.39
2021-02,East,Credit Card,1068,Student Card,396,3189.8,15958.51,0.0332,1221223.86
2021-02,East,Mortgage,1069,Home Loan Pro,347,199400.61,16008.82,0.0232,67586757.0
2021-02,East,Mortgage,1070,First Home Loan,349,198087.29,21812.38,0.0614,64887730.91
2021-02,East,Personal Loan,1071,Flexi Loan,377,1970.52,13841.35,0.0538,702918.77
2021-02,East,Personal Loan,1072,Instant Loan,313,100.0,26769.36,0.0477,29806.99
2021-02,East,Savings Account,1073,High Yield Savings,350,2237.82,21296.95,0.056,739375.73
2021-02,East,Savings Account,1074,Standard Savings,339,355.72,26779.85,0.0352,116344.34
2021-02,East,Investment,1075,WealthBuilder Fund,290,350.75,23558.07,0.0275,98920.27
2021-02,East,Investment,1076,Retirement Plan,377,998.36,17869.84,0.0755,347964.9
2021-02,West,Credit Card,1077,Platinum Card,294,908.43,17183.71,0.1008,240156.92
2021-02,West,Credit Card,1078,CashBack Card,309,100.0,23430.26,0.0712,28699.92
2021-02,West,Credit Card,1079,Student Card,357,100.0,21800.85,0.0844,32686.92
2021-02,West,Mortgage,1080,Home Loan Pro,327,200981.55,21653.5,0.0497,62454634.8
2021-02,West,Mortgage,1081,First Home Loan,320,200796.41,12384.2,0.0741,59493566.73
2021-02,West,Personal Loan,1082,Flexi Loan,358,1366.6,15300.6,0.0397,469819.86
2021-02,West,Personal Loan,1083,Instant Loan,418,100.0,20380.24,0.0571,39413.22
2021-02,West,Savings Account,1084,High Yield Savings,366,184.5,17204.87,0.0213,66088.67
2021-02,West,Savings Account,1085,Standard Savings,337,808.47,16873.81,0.0445,260330.17
2021-02,West,Investment,1086,WealthBuilder Fund,354,887.67,18895.15,0.0623,294658.33
2021-02,West,Investment,1087,Retirement Plan,337,1757.51,31870.71,0.0438,566338.97
2021-03,North,Credit Card,1088,Platinum Card,318,1576.56,21556.25,0.1116,445395.86
2021-03,North,Credit Card,1089,CashBack Card,373,2119.57,15643.77,0.0455,754627.33
2021-03,North,Credit Card,1090,Student Card,350,100.0,16728.13,0.0345,33792.5
2021-03,North,Mortgage,1091,Home Loan Pro,392,199649.21,26715.49,0.0238,76399843.05
2021-03,North,Mortgage,1092,First Home Loan,384,201523.12,22694.55,0.0293,75117501.15
2021-03,North,Personal Loan,1093,Flexi Loan,314,809.66,12923.99,0.0619,238496.2
2021-03,North,Personal Loan,1094,Instant Loan,332,793.76,8610.25,0.0659,246161.8
2021-03,North,Savings Account,1095,High Yield Savings,360,1145.2,20496.66,0.065,385474.32
2021-03,North,Savings Account,1096,Standard Savings,346,100.0,23193.12,0.0543,32721.22
2021-03,North,Investment,1097,WealthBuilder Fund,348,2709.0,14304.29,0.0554,890504.65
2021-03,North,Investment,1098,Retirement Plan,331,252.03,9306.0,0.0899,75922.3
2021-03,South,Credit Card,1099,Platinum Card,366,2983.99,24178.46,0.0274,1062215.69
2021-03,South,Credit Card,1100,CashBack Card,337,2288.41,22322.58,0.0388,741271.84
2021-03,South,Credit Card,1101,Student Card,284,2505.03,22440.22,0.0816,653375.95
2021-03,South,Mortgage,1102,Home Loan Pro,333,200516.12,22377.47,0.0385,64201151.04
2021-03,South,Mortgage,1103,First Home Loan,395,199319.26,18648.98,0.069,73298661.27
2021-03,South,Personal Loan,1104,Flexi Loan,331,1250.19,24028.68,0.01,409674.76
2021-03,South,Personal Loan,1105,Instant Loan,369,2510.8,24462.05,0.0519,878400.62
2021-03,South,Savings Account,1106,High Yield Savings,311,2214.72,15595.68,0.0324,666461.52
2021-03,South,Savings Account,1107,Standard Savings,416,1512.6,20909.33,0.055,594633.31
2021-03,South,Investment,1108,WealthBuilder Fund,306,2509.77,22010.17,0.043,734966.07
2021-03,South,Investment,1109,Retirement Plan,417,1829.14,31285.99,0.0313,738877.26
2021-03,East,Credit Card,1110,Platinum Card,328,1756.99,15389.17,0.0674,537450.59
2021-03,East,Credit Card,1111,CashBack Card,352,2355.64,25909.87,0.0572,781755.88
2021-03,East,Credit Card,1112,Student Card,349,109.16,8376.4,0.0536,36054.85
2021-03,East,Mortgage,1113,Home Loan Pro,365,202643.57,15622.37,0.0541,69963401.79
2021-03,East,Mortgage,1114,First Home Loan,366,199209.53,22357.34,0.0876,66523711.71
